314  318   23.03.2023

Muons 0-5 in the iron absorber.


     x               y             z         cos(teta_x)   cos(teta_y)   cos(teta_z)

0
 -6.825078e-02  2.462467e-02  3.000000e+01  2.155242e-04  7.013831e-05  1.000000e+00 
 -6.498099e-02  1.926540e-02  6.000000e+01  6.802860e-05  -4.205655e-04  9.999999e-01 
 -5.938744e-02  9.496374e-03  9.000000e+01  1.883868e-04  4.595572e-05  1.000000e+00 
 -4.678777e-02  1.746658e-02  1.200000e+02  7.643093e-04  7.761333e-05  9.999997e-01 
 -2.364722e-02  3.387482e-02  1.500000e+02  7.028929e-04  5.846147e-04  9.999996e-01 
 -3.688291e-04  4.508563e-02  1.800000e+02  5.494144e-04  3.491318e-04  9.999998e-01 
 1.169267e-02  6.302914e-02  2.100000e+02  2.892865e-04  3.942061e-04  9.999999e-01 
 2.599579e-02  7.015034e-02  2.400000e+02  5.441550e-04  1.503477e-04  9.999998e-01 
 4.450652e-02  7.442390e-02  2.700000e+02  8.819181e-04  3.498902e-05  9.999996e-01 
 7.298202e-02  7.473659e-02  3.000000e+02  1.100168e-03  -9.726831e-06  9.999994e-01 
 1.053737e-01  8.343069e-02  3.300000e+02  1.125340e-03  5.551301e-04  9.999992e-01 
 1.276043e-01  9.856274e-02  3.600000e+02  7.908697e-04  5.663326e-04  9.999995e-01 
 1.469439e-01  1.113600e-01  3.900000e+02  5.295431e-04  3.259345e-04  9.999998e-01 
 1.727452e-01  1.255594e-01  4.200000e+02  8.849722e-04  1.813399e-04  9.999996e-01 
 1.812186e-01  1.350298e-01  4.500000e+02  6.481075e-05  3.921310e-05  1.000000e+00 
 1.783195e-01  1.416609e-01  4.800000e+02  4.329677e-05  4.148582e-04  9.999999e-01 
 1.873172e-01  1.681579e-01  5.100000e+02  1.848962e-04  1.128688e-03  9.999993e-01 
 1.828063e-01  1.935580e-01  5.400000e+02  -3.558603e-04  7.283067e-04  9.999997e-01 
 1.809562e-01  2.073334e-01  5.700000e+02  -4.297769e-04  4.034195e-04  9.999998e-01 
 1.639058e-01  2.243437e-01  6.000000e+02  -5.274590e-04  7.469330e-04  9.999996e-01 
 1.603046e-01  2.391112e-01  6.300000e+02  3.700578e-04  3.672091e-04  9.999999e-01 
 1.735852e-01  2.496456e-01  6.600000e+02  7.889864e-04  4.019800e-04  9.999996e-01 
 1.974578e-01  2.497977e-01  6.900000e+02  5.659428e-04  -3.744790e-04  9.999998e-01 
 2.239237e-01  2.511375e-01  7.200000e+02  7.945748e-04  4.453993e-04  9.999996e-01 
 2.578126e-01  2.599406e-01  7.500000e+02  1.346083e-03  1.395357e-04  9.999991e-01 
 2.886233e-01  2.659384e-01  7.800000e+02  1.367880e-03  9.258584e-05  9.999991e-01 
 3.227065e-01  2.721484e-01  8.100000e+02  1.131571e-03  -4.205812e-05  9.999994e-01 
 3.520790e-01  2.797523e-01  8.400000e+02  8.537009e-04  6.101143e-04  9.999994e-01 
 3.689624e-01  2.968370e-01  8.700000e+02  5.300716e-04  5.326644e-04  9.999997e-01 
 3.958407e-01  3.148096e-01  9.000000e+02  8.806904e-04  4.354221e-04  9.999995e-01 
